Filename,Oz .o size,Oz RThr,.o < Oz,Num for min size,Pass sequence,Model .o size,Model RThr,Complete .o,Complete RThr,cp_oz,cp_model,cmp_cp_model,binary_size_cmp
ex6_3,10800,621,,15,,9888,614,9888,614,29.7,32.8,27.4,9536
ex6_4,12712,739,,15,,11592,731,11592,731,32.8,35.4,30.0,11096
ex6_5,14608,857,,15,,13432,846,13432,846,34.0,37.1,31.0,12784
ex6_6,16520,975,,15,,15080,962,15080,962,36.4,38.9,33.6,14400
ex6_7,18416,1093,,15,,16728,1079,16728,1079,38.2,40.6,35.5,15952
ex7_3,10800,621,,15,,9840,610,9840,610,30.6,34.2,28.3,9504
ex7_4,12712,739,,15,,11536,726,11536,726,33.4,33.9,30.3,10992
ex7_5,14608,857,,15,,13408,842,13408,842,35.1,33.7,31.6,12752
ex7_6,16520,975,,15,,15024,959,15024,959,37.3,37.9,34.3,14304
ex7_7,18416,1093,,15,,16664,1076,16664,1076,39.5,34.4,36.3,15872
ex8_3,28272,1837,,15,,25360,1817,25360,1817,50.1,45.5,45.5,23968
ex8_4,43824,2885,,15,,39440,2852,39440,2852,61.9,52.6,55.7,37360
ex8_5,61848,4075,,15,,55392,4031,55392,4031,74.5,68.2,69.6,52608
ex8_6,80360,5292,,15,,72256,5248,72256,5248,88.0,79.8,80.7,68480
ex8_7,99048,6509,,15,,88880,6480,88880,6480,102.3,91.1,93.2,84160
ex9_3,26928,1907,,15,,23984,1880,23984,1880,48.7,46.0,44.7,22848
ex9_4,44472,3164,,15,,39424,3132,39424,3132,61.4,56.3,56.5,37456
ex9_5,62096,4421,,15,,55168,4386,55168,4386,73.6,67.6,66.7,51808
ex9_6,79624,5678,,15,,71200,5632,71200,5632,86.8,79.5,79.2,67840
ex9_7,97488,6935,,15,,87024,6880,87024,6880,100.1,93.6,92.6,83200